,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Formation,Play
41847,5,14,10,DEN,CIN,1,10,32,SHOTGUN,RUSH
41848,5,13,36,DEN,CIN,2,9,33,SHOTGUN,PASS
41851,5,9,48,CIN,DEN,2,10,33,SHOTGUN,RUSH
41853,1,15,0,NYJ,BUF,1,10,20,UNDER CENTER,RUSH
41854,1,14,22,NYJ,BUF,2,10,20,SHOTGUN,PASS
41855,1,14,19,NYJ,BUF,3,10,20,SHOTGUN,PASS
41856,1,13,47,NYJ,BUF,3,15,15,SHOTGUN,PASS
41857,1,13,36,NYJ,BUF,4,9,21,PUNT,KICK
41858,1,8,5,BUF,NYJ,4,10,34,PUNT,KICK
41859,1,7,54,NYJ,BUF,1,10,12,SHOTGUN,PASS
41860,1,7,47,NYJ,BUF,2,10,12,UNDER CENTER,PASS
41862,1,7,44,NYJ,BUF,3,15,7,SHOTGUN,PASS
41863,1,7,7,NYJ,BUF,4,18,4,PUNT,KICK
41866,1,5,43,NYJ,BUF,1,10,20,UNDER CENTER,RUSH
41867,1,1,59,BUF,NYJ,2,3,48,SHOTGUN,RUSH
41872,3,12,38,BUF,NYJ,2,6,19,SHOTGUN,PASS
41873,3,11,59,BUF,NYJ,1,10,28,SHOTGUN,RUSH
41875,3,4,57,NYJ,BUF,1,10,23,SHOTGUN,PASS
41876,4,15,0,BUF,NYJ,4,2,28,PUNT,KICK
41877,4,14,52,NYJ,BUF,1,10,28,SHOTGUN,RUSH
41878,4,14,13,NYJ,BUF,2,5,33,SHOTGUN,PASS
41879,4,13,27,NYJ,BUF,1,10,48,SHOTGUN,PASS
41880,4,13,23,NYJ,BUF,2,10,48,SHOTGUN,RUSH
41881,4,10,43,BUF,NYJ,1,10,20,SHOTGUN,RUSH
41882,4,10,13,BUF,NYJ,2,7,23,SHOTGUN,PASS
41883,4,10,9,BUF,NYJ,3,7,23,SHOTGUN,PASS
41884,4,9,24,BUF,NYJ,1,10,43,UNDER CENTER,RUSH
41885,4,8,41,BUF,NYJ,2,10,43,SHOTGUN,PASS
41886,4,8,6,BUF,NYJ,3,8,45,SHOTGUN,PASS
41888,4,2,40,NYJ,BUF,2,10,32,SHOTGUN,PASS
41889,4,2,32,NYJ,BUF,1,10,44,SHOTGUN,PASS
41890,4,2,25,NYJ,BUF,2,12,42,SHOTGUN,RUSH
41892,4,2,0,NYJ,BUF,3,9,45,SHOTGUN,PASS
41893,4,1,51,BUF,NYJ,1,10,34,UNDER CENTER,RUSH
41895,4,1,45,BUF,NYJ,2,11,33,UNDER CENTER,RUSH
41897,4,1,39,BUF,NYJ,3,9,35,SHOTGUN,RUSH
41899,4,0,55,BUF,NYJ,4,5,39,PUNT,KICK
41900,4,0,44,NYJ,BUF,1,10,18,SHOTGUN,PASS
41901,4,0,24,NYJ,BUF,2,1,27,NO HUDDLE SHOTGUN,PASS
41902,4,0,17,NYJ,BUF,3,1,27,SHOTGUN,PASS
41903,1,14,15,MIA,NE,3,7,34,NO HUDDLE SHOTGUN,PASS
41904,1,14,9,MIA,NE,4,7,34,PUNT,KICK
41905,1,14,1,NE,MIA,1,10,16,UNDER CENTER,RUSH
41906,1,13,20,NE,MIA,2,7,19,UNDER CENTER,RUSH
41907,1,12,40,NE,MIA,3,8,18,SHOTGUN,PASS
41908,1,12,2,NE,MIA,4,2,24,PUNT,KICK
41909,1,11,50,MIA,NE,1,10,26,UNDER CENTER,RUSH
41911,1,8,7,NE,MIA,1,10,20,UNDER CENTER,RUSH
41912,1,7,46,NE,MIA,2,4,26,NO HUDDLE,RUSH
41913,1,7,8,NE,MIA,3,2,28,UNDER CENTER,RUSH
41915,2,8,6,MIA,NE,1,10,20,SHOTGUN,PASS
41916,2,7,30,MIA,NE,2,6,24,UNDER CENTER,RUSH
41917,2,6,52,MIA,NE,3,5,25,SHOTGUN,PASS
41918,2,6,11,MIA,NE,4,2,28,PUNT,KICK
41919,2,5,55,NE,MIA,1,10,35,SHOTGUN,PASS
41920,2,5,24,NE,MIA,2,11,34,UNDER CENTER,PASS
41921,2,5,18,NE,MIA,1,10,39,UNDER CENTER,RUSH
41922,2,4,46,NE,MIA,2,6,43,UNDER CENTER,RUSH
41924,3,10,54,NE,MIA,4,10,33,PUNT,KICK
41926,3,15,0,NE,MIA,1,10,20,UNDER CENTER,PASS
41927,3,14,33,NE,MIA,2,6,24,UNDER CENTER,RUSH
41928,3,13,46,NE,MIA,3,4,26,SHOTGUN,PASS
41930,3,12,32,MIA,NE,1,10,20,UNDER CENTER,RUSH
41931,3,12,0,MIA,NE,2,9,21,SHOTGUN,RUSH
41932,3,11,29,MIA,NE,3,9,21,SHOTGUN,PASS
41933,3,11,21,MIA,NE,4,9,21,PUNT,KICK
41934,3,11,10,NE,MIA,1,10,33,SHOTGUN,PASS
41935,3,11,4,NE,MIA,2,10,33,SHOTGUN,PASS
41936,3,10,58,NE,MIA,3,10,33,SHOTGUN,PASS
41937,3,10,41,MIA,NE,1,10,28,SHOTGUN,PASS
41938,3,10,35,MIA,NE,2,10,28,SHOTGUN,RUSH
41939,3,7,44,NE,MIA,1,10,20,UNDER CENTER,PASS
41940,3,7,38,NE,MIA,2,10,20,SHOTGUN,PASS
41941,3,7,7,NE,MIA,3,11,19,SHOTGUN,PASS
41942,3,6,58,NE,MIA,1,10,34,SHOTGUN,PASS
41943,3,6,52,NE,MIA,2,10,34,SHOTGUN,PASS
41944,3,6,16,NE,MIA,3,1,43,UNDER CENTER,PASS
41945,3,5,49,NE,MIA,3,11,33,SHOTGUN,PASS
41946,3,5,41,NE,MIA,4,11,33,PUNT,KICK
41947,3,2,36,MIA,NE,3,13,49,NO HUDDLE SHOTGUN,PASS
41948,3,2,3,NE,MIA,1,10,39,UNDER CENTER,RUSH
41949,3,1,47,NE,MIA,2,8,41,UNDER CENTER,PASS
41951,3,1,25,NE,MIA,3,13,36,SHOTGUN,PASS
41952,3,1,3,NE,MIA,4,5,44,PUNT,KICK
41953,3,0,45,MIA,NE,1,10,16,UNDER CENTER,PASS
41954,4,12,44,NE,MIA,2,2,12,UNDER CENTER,RUSH
41955,4,12,5,NE,MIA,3,1,13,SHOTGUN,PASS
41956,4,11,26,NE,MIA,1,10,25,SHOTGUN,PASS
41957,4,11,17,NE,MIA,2,10,25,UNDER CENTER,RUSH
41958,4,10,46,NE,MIA,3,10,25,SHOTGUN,PASS
41960,4,6,58,NE,MIA,1,10,20,UNDER CENTER,PASS
41961,4,6,16,NE,MIA,2,15,15,SHOTGUN,RUSH
41962,4,5,33,NE,MIA,3,14,16,SHOTGUN,PASS
41963,4,5,5,NE,MIA,4,23,7,PUNT,KICK
41964,4,5,5,NE,MIA,4,23,7,UNDER CENTER,KICK
41966,4,1,30,NE,MIA,3,4,26,NO HUDDLE SHOTGUN,PASS
41967,4,1,23,NE,MIA,4,4,26,SHOTGUN,PASS
41970,1,15,0,CIN,BAL,1,10,20,UNDER CENTER,PASS
41971,1,14,28,CIN,BAL,2,8,22,SHOTGUN,PASS
41973,1,13,25,CIN,BAL,1,15,28,UNDER CENTER,RUSH
41974,1,12,43,CIN,BAL,2,5,38,SHOTGUN,PASS
41975,1,12,38,CIN,BAL,3,5,38,SHOTGUN,PASS
41976,1,12,33,CIN,BAL,4,5,38,PUNT,KICK
41977,1,9,40,BAL,CIN,3,6,45,SHOTGUN,PASS
41978,1,8,59,BAL,CIN,4,16,35,PUNT,KICK
41979,1,8,51,CIN,BAL,1,10,17,SHOTGUN,RUSH
41980,1,8,20,CIN,BAL,2,9,18,SHOTGUN,RUSH
41981,1,7,48,CIN,BAL,1,10,28,SHOTGUN,PASS
41982,1,7,22,CIN,BAL,2,3,35,SHOTGUN,PASS
41983,1,6,36,CIN,BAL,1,10,41,SHOTGUN,RUSH
41984,1,6,1,CIN,BAL,2,9,42,SHOTGUN,PASS
41985,1,5,56,CIN,BAL,3,9,42,SHOTGUN,PASS
41986,1,5,23,CIN,BAL,3,19,32,SHOTGUN,RUSH
41987,1,4,52,CIN,BAL,4,12,39,PUNT,KICK
41988,1,4,40,BAL,CIN,1,10,22,UNDER CENTER,PASS
41989,1,1,49,CIN,BAL,1,10,4,UNDER CENTER,RUSH
41992,2,12,56,CIN,BAL,1,10,20,UNDER CENTER,PASS
41993,2,12,47,CIN,BAL,2,10,20,SHOTGUN,PASS
41994,2,9,59,CIN,BAL,3,12,39,SHOTGUN,PASS
41995,2,9,30,CIN,BAL,4,19,32,PUNT,KICK
41996,2,9,19,BAL,CIN,1,10,35,UNDER CENTER,PASS
41997,2,9,15,BAL,CIN,2,10,35,UNDER CENTER,RUSH
41998,2,8,31,BAL,CIN,3,5,40,SHOTGUN,PASS
41999,2,4,15,CIN,BAL,2,4,25,SHOTGUN,PASS
42000,2,3,54,CIN,BAL,1,10,31,SHOTGUN,PASS
42001,2,3,14,CIN,BAL,2,13,28,SHOTGUN,PASS
42004,2,1,45,BAL,CIN,1,10,14,SHOTGUN,RUSH
42005,2,1,17,BAL,CIN,2,9,15,SHOTGUN,PASS
42007,2,1,9,BAL,CIN,1,10,32,SHOTGUN,PASS
42008,2,0,46,BAL,CIN,2,11,31,SHOTGUN,PASS
42009,2,0,40,BAL,CIN,3,1,41,SHOTGUN,PASS
42014,3,11,15,BAL,CIN,1,10,37,UNDER CENTER,RUSH
42015,3,10,43,BAL,CIN,2,9,38,UNDER CENTER,PASS
42016,3,10,36,BAL,CIN,3,9,38,SHOTGUN,PASS
42019,3,3,4,CIN,BAL,1,10,6,UNDER CENTER,RUSH
42022,4,11,57,CIN,BAL,1,10,28,UNDER CENTER,RUSH
42023,4,11,15,CIN,BAL,2,6,32,UNDER CENTER,RUSH
42024,4,10,30,CIN,BAL,3,3,35,SHOTGUN,PASS
42025,4,9,46,CIN,BAL,4,1,37,PUNT,KICK
42026,4,9,37,BAL,CIN,1,10,5,UNDER CENTER,PASS
42027,4,9,32,BAL,CIN,1,10,16,SHOTGUN,RUSH
42030,4,4,1,BAL,CIN,1,10,25,SHOTGUN,PASS
42035,1,13,42,PIT,CLE,1,10,33,SHOTGUN,RUSH
42036,1,13,2,PIT,CLE,2,9,34,SHOTGUN,PASS
42038,1,6,59,CLE,PIT,1,10,21,SHOTGUN,PASS
42039,1,6,30,CLE,PIT,2,4,27,UNDER CENTER,PASS
42041,1,4,19,CLE,PIT,3,16,32,SHOTGUN,PASS
42042,1,3,38,CLE,PIT,4,25,23,PUNT,KICK
42043,1,3,28,PIT,CLE,1,10,29,SHOTGUN,PASS
42045,1,1,11,PIT,CLE,1,10,20,SHOTGUN,RUSH
42046,1,0,38,PIT,CLE,2,9,21,SHOTGUN,PASS
42047,1,0,7,PIT,CLE,1,10,30,SHOTGUN,RUSH
42049,2,15,0,PIT,CLE,2,16,24,UNDER CENTER,PASS
42052,2,1,56,PIT,CLE,1,10,20,SHOTGUN,PASS
42053,2,1,52,PIT,CLE,2,10,20,SHOTGUN,PASS
42057,2,0,58,CLE,PIT,1,10,20,SHOTGUN,PASS
42058,2,0,48,CLE,PIT,1,10,32,SHOTGUN,PASS
42059,3,14,52,CLE,PIT,2,10,7,SHOTGUN,RUSH
42060,3,14,13,CLE,PIT,3,8,9,SHOTGUN,PASS
42061,3,14,0,PIT,CLE,1,10,38,UNDER CENTER,RUSH
42062,3,13,22,PIT,CLE,2,8,40,SHOTGUN,PASS
42063,3,12,12,PIT,CLE,1,10,5,UNDER CENTER,RUSH
42064,3,11,30,PIT,CLE,2,7,8,SHOTGUN,PASS
42066,3,11,24,PIT,CLE,3,2,13,SHOTGUN,PASS
42068,3,9,34,CLE,PIT,1,10,27,SHOTGUN,RUSH
42069,3,9,0,CLE,PIT,2,1,36,UNDER CENTER,RUSH
42070,3,8,26,CLE,PIT,3,2,35,UNDER CENTER,PASS
42072,1,10,33,JAX,HOU,1,20,42,SHOTGUN,PASS
42075,4,11,4,CLE,PIT,1,10,21,SHOTGUN,PASS
42076,4,10,59,CLE,PIT,2,10,21,SHOTGUN,PASS
42078,4,7,35,CLE,PIT,1,10,22,SHOTGUN,PASS
42079,4,7,7,CLE,PIT,1,10,27,SHOTGUN,PASS
42080,4,6,41,CLE,PIT,1,10,38,NO HUDDLE SHOTGUN,PASS
42081,4,6,37,CLE,PIT,2,10,38,SHOTGUN,PASS
42082,1,14,53,JAX,HOU,1,10,34,UNDER CENTER,RUSH
42083,1,14,17,JAX,HOU,2,7,37,SHOTGUN,PASS
42084,4,2,9,PIT,CLE,4,11,43,PUNT,KICK
42085,4,2,6,CLE,PIT,1,10,20,SHOTGUN,PASS
42086,4,2,1,CLE,PIT,2,10,20,SHOTGUN,PASS
42088,4,1,11,CLE,PIT,4,5,40,SHOTGUN,PASS
42089,1,14,10,JAX,HOU,3,7,37,SHOTGUN,PASS
42090,1,13,48,JAX,HOU,4,15,29,PUNT,KICK
42092,1,11,35,JAX,HOU,2,7,44,SHOTGUN,RUSH
42094,1,13,34,HOU,JAX,1,10,22,SHOTGUN,PASS
42095,1,13,30,HOU,JAX,2,10,22,SHOTGUN,RUSH
42096,1,12,54,HOU,JAX,3,9,23,SHOTGUN,PASS
42098,1,9,51,JAX,HOU,2,15,47,UNDER CENTER,PASS
42099,1,9,45,JAX,HOU,3,15,47,SHOTGUN,PASS
42100,2,13,41,JAX,HOU,2,9,21,UNDER CENTER,RUSH
42101,2,13,1,JAX,HOU,3,1,29,UNDER CENTER,RUSH
42102,2,12,23,JAX,HOU,1,10,33,SHOTGUN,PASS
42103,2,8,41,JAX,HOU,1,10,42,UNDER CENTER,RUSH
42104,2,8,4,JAX,HOU,2,13,39,SHOTGUN,RUSH
42105,1,8,54,HOU,JAX,1,10,42,UNDER CENTER,RUSH
42106,1,8,17,HOU,JAX,2,9,43,SHOTGUN,PASS
42107,2,4,9,JAX,HOU,3,4,40,SHOTGUN,PASS
42108,2,3,31,JAX,HOU,4,8,36,PUNT,KICK
42109,2,3,17,HOU,JAX,1,10,13,UNDER CENTER,RUSH
42110,2,2,42,HOU,JAX,1,10,24,UNDER CENTER,PASS
42111,2,2,37,HOU,JAX,2,10,24,SHOTGUN,RUSH
42113,2,2,0,HOU,JAX,3,14,20,SHOTGUN,PASS
42115,3,12,11,JAX,HOU,1,10,39,UNDER CENTER,PASS
42116,3,3,49,JAX,HOU,1,10,34,SHOTGUN,PASS
42117,3,3,45,JAX,HOU,2,10,34,UNDER CENTER,RUSH
42118,3,3,12,JAX,HOU,3,7,37,SHOTGUN,PASS
42119,3,2,58,JAX,HOU,4,7,37,PUNT,KICK
42120,3,12,24,HOU,JAX,4,9,32,PUNT,KICK
42121,3,9,53,HOU,JAX,1,10,11,UNDER CENTER,RUSH
42123,4,3,17,JAX,HOU,1,10,21,SHOTGUN,PASS
42124,4,3,9,JAX,HOU,1,10,20,SHOTGUN,PASS
42125,4,2,45,JAX,HOU,2,4,26,SHOTGUN,PASS
42126,4,2,19,JAX,HOU,1,10,32,SHOTGUN,PASS
42128,4,13,33,HOU,JAX,1,15,27,UNDER CENTER,PASS
42129,4,9,16,HOU,JAX,1,10,25,UNDER CENTER,RUSH
42130,4,8,45,HOU,JAX,1,10,37,UNDER CENTER,RUSH
42132,1,15,0,IND,TEN,1,10,20,SHOTGUN,PASS
42133,1,14,55,IND,TEN,2,10,20,SHOTGUN,PASS
42135,1,8,57,TEN,IND,1,10,20,UNDER CENTER,PASS
42136,1,5,28,IND,TEN,4,3,20,PUNT,KICK
42137,1,5,18,TEN,IND,1,10,45,UNDER CENTER,RUSH
42138,1,4,41,TEN,IND,2,6,49,UNDER CENTER,PASS
42139,1,4,37,TEN,IND,3,6,49,SHOTGUN,PASS
42140,1,3,56,TEN,IND,4,15,40,PUNT,KICK
42141,1,3,43,IND,TEN,1,10,8,UNDER CENTER,RUSH
42142,1,3,10,IND,TEN,2,8,10,SHOTGUN,RUSH
42143,1,2,31,IND,TEN,3,9,9,SHOTGUN,PASS
42144,1,1,41,IND,TEN,2,12,29,SHOTGUN,RUSH
42145,1,1,5,IND,TEN,3,9,32,SHOTGUN,PASS
42146,1,0,21,IND,TEN,1,10,43,UNDER CENTER,PASS
42147,1,0,12,TEN,IND,1,10,20,UNDER CENTER,RUSH
42149,2,15,0,TEN,IND,2,10,20,UNDER CENTER,RUSH
42150,2,14,23,TEN,IND,3,11,19,SHOTGUN,PASS
42151,2,13,53,TEN,IND,1,10,39,UNDER CENTER,PASS
42152,2,13,19,TEN,IND,2,7,42,UNDER CENTER,PASS
42153,2,13,14,TEN,IND,3,7,42,SHOTGUN,PASS
42154,2,4,59,IND,TEN,1,10,17,SHOTGUN,PASS
42155,2,4,28,IND,TEN,1,10,31,SHOTGUN,RUSH
42156,2,3,48,IND,TEN,2,5,36,UNDER CENTER,RUSH
42157,2,3,8,IND,TEN,1,10,48,SHOTGUN,PASS
42158,2,3,2,IND,TEN,2,10,48,SHOTGUN,PASS
42159,2,2,57,IND,TEN,3,10,48,SHOTGUN,PASS
42160,2,2,52,IND,TEN,4,10,48,PUNT,KICK
42161,2,2,42,TEN,IND,1,10,2,UNDER CENTER,RUSH
42163,2,2,0,TEN,IND,2,7,5,UNDER CENTER,RUSH
42165,2,1,54,TEN,IND,3,3,9,SHOTGUN,PASS
42167,2,0,13,TEN,IND,1,10,20,UNDER CENTER,RUSH
42170,3,11,8,TEN,IND,2,7,49,UNDER CENTER,RUSH
42171,3,6,38,IND,TEN,1,10,37,UNDER CENTER,RUSH
42172,3,6,0,IND,TEN,2,8,39,SHOTGUN,PASS
42173,3,5,16,IND,TEN,3,2,45,SHOTGUN,PASS
42174,3,3,55,TEN,IND,1,10,15,UNDER CENTER,PASS
42175,3,3,21,TEN,IND,1,10,31,UNDER CENTER,RUSH
42176,3,2,40,TEN,IND,2,6,35,UNDER CENTER,RUSH
42177,3,2,0,TEN,IND,3,1,40,UNDER CENTER,RUSH
42178,3,1,19,TEN,IND,4,1,40,PUNT,KICK
42179,3,1,11,IND,TEN,1,10,8,UNDER CENTER,RUSH
42180,3,0,30,IND,TEN,2,7,11,SHOTGUN,PASS
42182,4,15,0,IND,TEN,3,1,17,SHOTGUN,PASS
42183,4,14,22,IND,TEN,4,8,10,PUNT,KICK
42184,4,14,12,TEN,IND,1,10,41,UNDER CENTER,PASS
42185,4,10,4,TEN,IND,1,10,23,UNDER CENTER,PASS
42186,4,10,0,TEN,IND,2,10,23,UNDER CENTER,RUSH
42187,4,9,22,TEN,IND,3,8,25,SHOTGUN,PASS
42190,4,1,41,TEN,IND,3,7,49,SHOTGUN,PASS
42192,4,1,31,TEN,IND,4,21,35,SHOTGUN,PASS
42194,1,10,47,OAK,KC,1,10,25,UNDER CENTER,PASS
42195,1,10,8,OAK,KC,1,10,39,NO HUDDLE SHOTGUN,RUSH
42196,1,9,32,OAK,KC,2,5,44,SHOTGUN,PASS
42197,1,6,4,KC,OAK,3,4,19,SHOTGUN,PASS
42198,1,5,25,KC,OAK,1,10,28,SHOTGUN,PASS
42199,1,4,49,KC,OAK,2,5,33,UNDER CENTER,RUSH
42200,1,4,7,KC,OAK,1,10,48,SHOTGUN,RUSH
42202,2,8,13,OAK,KC,1,10,7,SHOTGUN,PASS
42203,2,8,10,OAK,KC,2,10,7,SHOTGUN,PASS
42204,2,7,49,OAK,KC,1,10,21,NO HUDDLE,RUSH
42205,2,7,28,OAK,KC,2,9,22,SHOTGUN,PASS
42206,2,6,46,OAK,KC,3,12,19,SHOTGUN,PASS
42207,2,6,40,OAK,KC,4,12,19,PUNT,KICK
42209,2,0,33,OAK,KC,3,6,29,SHOTGUN,PASS
42210,2,0,16,KC,OAK,1,10,25,UNDER CENTER,RUSH
42213,3,14,54,OAK,KC,1,10,29,SHOTGUN,RUSH
42214,3,12,36,KC,OAK,1,10,44,UNDER CENTER,PASS
42215,3,12,29,KC,OAK,2,10,44,SHOTGUN,PASS
42216,3,11,10,KC,OAK,4,5,49,PUNT,KICK
42217,3,11,2,OAK,KC,1,10,10,UNDER CENTER,PASS
42218,3,10,22,OAK,KC,2,11,9,SHOTGUN,RUSH
42219,3,9,45,OAK,KC,3,5,15,SHOTGUN,PASS
42220,3,9,5,OAK,KC,4,13,7,UNDER CENTER,KICK
42223,3,5,7,OAK,KC,1,10,35,SHOTGUN,PASS
42224,3,5,3,OAK,KC,2,10,35,SHOTGUN,RUSH
42225,3,4,23,OAK,KC,3,10,35,SHOTGUN,PASS
42226,3,3,38,OAK,KC,4,3,42,PUNT,KICK
42227,3,1,0,KC,OAK,3,2,49,SHOTGUN,PASS
42228,3,0,26,KC,OAK,4,11,40,PUNT,KICK
42229,3,0,18,OAK,KC,1,10,22,SHOTGUN,PASS
42230,3,0,13,OAK,KC,2,10,22,SHOTGUN,PASS
42231,4,15,0,OAK,KC,3,19,13,SHOTGUN,PASS
42232,4,14,29,OAK,KC,1,10,32,SHOTGUN,PASS
42233,4,13,45,OAK,KC,2,17,25,SHOTGUN,PASS
42234,4,12,57,OAK,KC,3,13,29,SHOTGUN,PASS
42235,4,12,14,OAK,KC,4,3,39,PUNT,KICK
42241,4,1,10,OAK,KC,1,10,22,NO HUDDLE SHOTGUN,PASS
42242,4,0,50,OAK,KC,2,7,25,NO HUDDLE SHOTGUN,PASS
42243,4,0,45,OAK,KC,3,8,24,SHOTGUN,PASS
42244,4,0,40,OAK,KC,1,10,35,SHOTGUN,PASS
42246,4,0,22,OAK,KC,3,21,24,NO HUDDLE SHOTGUN,PASS
42249,1,15,0,DAL,WAS,1,10,20,UNDER CENTER,RUSH
42250,1,14,26,DAL,WAS,2,9,21,UNDER CENTER,RUSH
42251,1,10,12,DAL,WAS,2,8,9,UNDER CENTER,PASS
42252,1,10,8,DAL,WAS,3,8,9,SHOTGUN,PASS
42253,1,10,4,DAL,WAS,4,8,9,PUNT,KICK
42254,1,6,4,DAL,WAS,3,14,46,SHOTGUN,PASS
42255,2,12,45,DAL,WAS,4,14,32,PUNT,KICK
42256,2,12,34,WAS,DAL,1,10,23,UNDER CENTER,PASS
42257,2,12,0,WAS,DAL,2,7,26,UNDER CENTER,RUSH
42258,2,11,23,WAS,DAL,3,5,28,NO HUDDLE SHOTGUN,PASS
42259,2,5,39,DAL,WAS,1,10,44,UNDER CENTER,PASS
42260,2,3,35,WAS,DAL,1,10,20,UNDER CENTER,RUSH
42261,2,2,57,WAS,DAL,2,7,23,SHOTGUN,PASS
42262,2,2,18,WAS,DAL,1,10,34,SHOTGUN,RUSH
42264,2,2,0,WAS,DAL,2,7,37,SHOTGUN,PASS
42265,2,1,54,WAS,DAL,3,7,37,SHOTGUN,PASS
42267,2,1,44,WAS,DAL,4,20,24,PUNT,KICK
42268,2,1,27,DAL,WAS,1,10,14,SHOTGUN,PASS
42270,2,0,21,WAS,DAL,1,10,20,UNDER CENTER,RUSH
42272,3,13,30,DAL,WAS,1,10,9,UNDER CENTER,RUSH
42273,3,12,50,DAL,WAS,1,10,39,SHOTGUN,PASS
42274,3,12,45,DAL,WAS,2,10,39,SHOTGUN,RUSH
42275,3,12,7,DAL,WAS,3,5,44,SHOTGUN,PASS
42276,3,11,26,DAL,WAS,4,11,38,PUNT,KICK
42277,3,11,18,WAS,DAL,1,10,11,UNDER CENTER,RUSH
42278,3,10,42,WAS,DAL,2,3,18,UNDER CENTER,RUSH
42279,3,10,5,WAS,DAL,1,10,23,UNDER CENTER,RUSH
42280,3,9,23,WAS,DAL,2,7,26,UNDER CENTER,RUSH
42281,3,8,47,WAS,DAL,1,10,34,UNDER CENTER,RUSH
42282,3,8,15,WAS,DAL,1,20,24,SHOTGUN,RUSH
42284,3,2,13,DAL,WAS,2,15,18,SHOTGUN,PASS
42285,3,2,10,DAL,WAS,3,15,18,SHOTGUN,PASS
42286,3,1,33,DAL,WAS,4,5,28,PUNT,KICK
42287,3,1,23,WAS,DAL,1,10,28,UNDER CENTER,RUSH
42288,4,14,51,DAL,WAS,1,10,20,SHOTGUN,PASS
42289,4,14,21,DAL,WAS,2,1,29,NO HUDDLE,RUSH
42290,4,13,58,DAL,WAS,1,10,31,NO HUDDLE SHOTGUN,PASS
42292,4,10,5,WAS,DAL,1,10,43,UNDER CENTER,RUSH
42293,4,9,21,WAS,DAL,2,9,44,UNDER CENTER,PASS
42294,4,7,50,DAL,WAS,1,10,11,SHOTGUN,PASS
42295,4,7,28,DAL,WAS,1,10,28,NO HUDDLE SHOTGUN,PASS
42301,1,15,0,PHI,NYG,1,10,20,SHOTGUN,PASS
42302,1,14,56,PHI,NYG,2,10,20,NO HUDDLE SHOTGUN,PASS
42303,1,14,26,PHI,NYG,3,3,27,NO HUDDLE SHOTGUN,PASS
42304,1,13,55,PHI,NYG,1,10,32,NO HUDDLE SHOTGUN,PASS
42305,1,13,21,PHI,NYG,1,10,46,NO HUDDLE,RUSH
42307,1,9,13,PHI,NYG,1,10,2,SHOTGUN,RUSH
42308,1,8,36,PHI,NYG,2,9,3,NO HUDDLE SHOTGUN,PASS
42309,1,8,21,PHI,NYG,2,10,2,SHOTGUN,PASS
42311,1,7,37,PHI,NYG,3,3,9,SHOTGUN,PASS
42313,1,4,1,PHI,NYG,1,10,15,SHOTGUN,RUSH
42314,1,3,28,PHI,NYG,2,13,12,NO HUDDLE SHOTGUN,PASS
42315,1,3,0,PHI,NYG,3,4,21,NO HUDDLE SHOTGUN,RUSH
42317,2,11,1,PHI,NYG,1,10,20,SHOTGUN,PASS
42318,2,10,48,PHI,NYG,2,8,22,NO HUDDLE SHOTGUN,RUSH
42319,2,10,19,PHI,NYG,3,8,22,NO HUDDLE SHOTGUN,PASS
42320,2,9,52,PHI,NYG,1,10,47,NO HUDDLE SHOTGUN,RUSH
42322,2,4,38,NYG,PHI,1,10,20,SHOTGUN,PASS
42325,3,15,0,NYG,PHI,1,10,20,UNDER CENTER,RUSH
42326,3,14,36,NYG,PHI,2,10,20,NO HUDDLE SHOTGUN,PASS
42327,3,14,2,NYG,PHI,1,10,33,NO HUDDLE SHOTGUN,RUSH
42329,3,9,11,PHI,NYG,1,10,20,SHOTGUN,RUSH
42330,3,8,32,PHI,NYG,2,10,20,NO HUDDLE SHOTGUN,PASS
42331,3,7,51,PHI,NYG,3,7,23,NO HUDDLE SHOTGUN,PASS
42332,3,7,41,PHI,NYG,4,7,23,PUNT,KICK
42334,3,3,34,NYG,PHI,1,10,20,UNDER CENTER,RUSH
42335,3,3,7,NYG,PHI,1,10,35,NO HUDDLE SHOTGUN,RUSH
42336,3,0,31,PHI,NYG,1,10,9,SHOTGUN,RUSH
42338,4,15,0,PHI,NYG,2,8,11,SHOTGUN,PASS
42339,4,15,0,PHI,NYG,1,10,23,NO HUDDLE SHOTGUN,RUSH
42340,4,14,18,PHI,NYG,2,3,30,NO HUDDLE SHOTGUN,PASS
42341,4,13,58,PHI,NYG,3,1,32,NO HUDDLE SHOTGUN,PASS
42342,4,13,22,PHI,NYG,1,10,39,NO HUDDLE SHOTGUN,RUSH
42343,4,12,43,PHI,NYG,2,6,43,NO HUDDLE SHOTGUN,RUSH
42344,4,12,4,PHI,NYG,3,5,44,NO HUDDLE SHOTGUN,PASS
42345,4,4,30,PHI,NYG,1,10,20,SHOTGUN,PASS
42346,4,3,51,PHI,NYG,2,1,29,NO HUDDLE SHOTGUN,RUSH
42347,4,3,12,PHI,NYG,1,10,35,NO HUDDLE SHOTGUN,PASS
42349,4,2,22,PHI,NYG,2,4,41,SHOTGUN,PASS
42354,4,1,43,NYG,PHI,1,10,20,SHOTGUN,PASS
42355,4,1,25,NYG,PHI,1,10,31,NO HUDDLE SHOTGUN,PASS
42356,4,1,7,NYG,PHI,2,2,39,NO HUDDLE SHOTGUN,PASS
42357,4,1,2,NYG,PHI,3,2,39,NO HUDDLE SHOTGUN,PASS
42358,1,14,53,DET,CHI,1,10,23,SHOTGUN,PASS
